"id";"code";"creation_date";"last_update_date";"creation_week_day";"last_update_week_day";"latitude";"longitude";"city";"hp";"gnv";"year";"mileage";"doors";"model";"brand";"vehicle_type";"fuel";"gear";"color";"steering";"first_price";"last_price";"olx_average_price";"fipe_price";"price_changes";"accessories"
780;"1311491556";2024-06-09 09:06:00.000;2024-08-08 22:43:25.000;domingo;quinta;-22.7899;-43.4597;Mesquita;1.0;1;2015;67540.0;4;FORD KA 1.0 SE 12V FLEX 4P MANUAL;FORD;Sedã;Flex;Manual;Preto;Elétrica;37900.0;35900.0;37990;37900;2;Air bag, Alarme, Ar condicionado, Conexão USB, Som, Trava elétrica, Vidro elétrico
779;"1303948677";2024-06-09 09:17:00.000;2024-06-20 22:24:10.000;domingo;quinta;-22.5887;-42.0;Cabo Frio;;0;2015;76000.0;4;FORD ECOSPORT FREESTYLE 2.0 16V FLEX 5P AUT.;FORD;SUV;Flex;Automático;Prata;Hidráulica;49500.0;49500.0;48100;54521;1;Air bag, Alarme, Ar condicionado, Bancos de couro, Câmera de ré, Computador de bordo, Conexão USB, Controle automático de velocidade, Interface bluetooth, Rodas de liga leve, Sensor de ré, Som, Trava elétrica, Vidro elétrico, Volante multifuncional
778;"1311494237";2024-06-09 09:36:00.000;2024-07-03 22:27:28.000;domingo;quarta;-22.8817;-43.4322;Rio de Janeiro;1.8;1;2015;91000.0;4;CHEVROLET COBALT LTZ 1.8 8V ECONO.FLEX 4P MEC.;CHEVROLET;Sedã;Flex;Manual;Amarelo;Hidráulica;36000.0;36000.0;38000;42553;1;Air bag, Alarme, Ar condicionado, Bancos de couro, Computador de bordo, Conexão USB, Interface bluetooth, Rodas de liga leve, Sensor de ré, Som, Trava elétrica, Vidro elétrico, Volante multifuncional
1201;"1311495290";2024-06-09 09:41:00.000;2024-08-08 22:44:51.000;domingo;quinta;-22.6732;-42.2752;Araruama;1.6;0;2015;130000.0;4;HYUNDAI HB20S C.PLUS/C.STYLE 1.6 FLEX 16V MEC.4P;HYUNDAI;Sedã;Flex;Manual;Branco;Hidráulica;44000.0;44000.0;44500;49152;1;Air bag, Alarme, Ar condicionado, Computador de bordo, Conexão USB, Interface bluetooth, Rodas de liga leve, Som, Trava elétrica, Vidro elétrico, Volante multifuncional
1199;"1311496251";2024-06-09 09:52:00.000;2024-06-21 21:26:06.000;domingo;sexta;-22.969;-43.1856;Rio de Janeiro;1.6;0;2015;91000.0;4;VOLKSWAGEN FOX TRENDLINE 1.6 FLEX 8V 5P;VOLKSWAGEN;Hatch;Flex;Manual;Preto;Hidráulica;39500.0;39500.0;41900;44720;1;Air bag, Alarme, Ar condicionado, Conexão USB, Interface bluetooth, Rodas de liga leve, Sensor de ré, Som, Trava elétrica, Vidro elétrico, Volante multifuncional
777;"1311501749";2024-06-09 10:28:00.000;2024-07-01 21:03:04.000;domingo;segunda;-22.9283;-43.24;Rio de Janeiro;1.0;0;2019;60500.0;4;RENAULT KWID ZEN 1.0 FLEX 12V 5P MEC.;RENAULT;Hatch;Flex;Manual;Branco;Elétrica;38500.0;38500.0;36800;40059;1;Air bag, Alarme, Ar condicionado, Conexão USB, Sensor de ré, Som, Trava elétrica, Vidro elétrico
776;"1302816041";2024-06-09 10:45:00.000;2024-08-08 22:43:25.000;domingo;quinta;-22.9258;-43.3798;Rio de Janeiro;1.6;1;2016;89000.0;4;FORD FIESTA 1.6 16V FLEX AUT. 5P;FORD;Hatch;Flex;Automático;Prata;Hidráulica;41990.0;40799.0;45990;45569;5;Air bag, Alarme, Ar condicionado, Computador de bordo, Conexão USB, Interface bluetooth, Rodas de liga leve, Sensor de ré, Som, Trava elétrica, Vidro elétrico, Volante multifuncional
775;"1311504337";2024-06-09 10:47:00.000;2024-08-08 22:43:24.000;domingo;quinta;-21.6774;-41.4553;Campos dos Goytacazes;1.0;1;2020;49200.0;4;VOLKSWAGEN GOL 1.0 FLEX 12V 5P;VOLKSWAGEN;Hatch;Flex;Manual;Branco;Hidráulica;47900.0;47900.0;46000;47363;1;Air bag, Ar condicionado, Computador de bordo, Conexão USB, Som, Trava elétrica, Vidro elétrico
3371;"1311506115";2024-06-09 10:58:00.000;2024-08-04 00:10:39.000;domingo;domingo;-22.921;-43.1805;Rio de Janeiro;1.0;0;2013;0.0;4;KIA MOTORS PICANTO EX 1.1/1.0/ 1.0 FLEX MEC.;KIA MOTORS;Hatch;Flex;Manual;Vermelho;Elétrica;40000.0;40000.0;34500;35327;1;Air bag, Alarme, Ar condicionado, Computador de bordo, Conexão USB, Rodas de liga leve, Sensor de ré, Som, Trava elétrica, Vidro elétrico, Volante multifuncional
774;"1299223950";2024-06-09 11:07:00.000;2024-08-08 22:43:24.000;domingo;quinta;-22.6568;-43.2929;Duque de Caxias;1.6;0;2018;70500.0;4;VOLKSWAGEN FOX COMFORTLINE 1.6 FLEX 8V 5P;VOLKSWAGEN;Hatch;Flex;Manual;Prata;Elétrica;45900.0;41900.0;49000;55411;4;Air bag, Alarme, Ar condicionado, Câmera de ré, Sensor de ré, Som, Trava elétrica, Vidro elétrico
1192;"1228587836";2024-06-09 11:21:00.000;2024-08-08 22:44:50.000;domingo;quinta;-22.9983;-43.3655;Rio de Janeiro;1.0;0;2010;98000.0;4;FIAT SIENA EL 1.0 MPI FIRE FLEX 8V 4P;FIAT;Sedã;Flex;Manual;Prata;Hidráulica;50000.0;50000.0;21000;25343;1;Alarme, Ar condicionado, Computador de bordo, Controle automático de velocidade, Sensor de ré, Som, Trava elétrica, Vidro elétrico
773;"1311512349";2024-06-09 11:28:00.000;2024-08-08 22:43:23.000;domingo;quinta;-22.8928;-43.2997;Rio de Janeiro;1.0;0;2015;56757.0;4;HYUNDAI HB20 COMF./C.PLUS/C.STYLE 1.0 FLEX 12V;HYUNDAI;Hatch;Flex;Manual;Branco;Hidráulica;38000.0;38000.0;40000;42905;1;Air bag, Ar condicionado, Conexão USB, Som, Trava elétrica, Vidro elétrico, Volante multifuncional
772;"1311517349";2024-06-09 11:52:00.000;2024-07-30 23:03:12.000;domingo;terça;-22.868;-43.3621;Rio de Janeiro;;0;2010;100000.0;4;BMW 320IA;BMW;Sedã;Gasolina;Automático;Cinza;Hidráulica;49900.0;49900.0;59500;60764;1;Air bag, Alarme, Ar condicionado, Bancos de couro, Blindado, Computador de bordo, Conexão USB, Controle automático de velocidade, Interface bluetooth, Rodas de liga leve, Sensor de ré, Som, Trava elétrica, Vidro elétrico, Volante multifuncional
771;"1311518453";2024-06-09 11:58:00.000;2024-08-08 22:43:23.000;domingo;quinta;-22.7422;-43.4791;Nova Iguaçu;1.4;1;2014;340000.0;4;CHEVROLET PRISMA SED. LT 1.4 8V FLEXPOWER 4P;CHEVROLET;Sedã;Flex;Manual;Preto;;31900.0;30900.0;37000;43729;2;
770;"1311523164";2024-06-09 12:20:00.000;2024-06-19 22:42:37.000;domingo;quarta;-22.9201;-43.3307;Rio de Janeiro;1.4;1;2015;26294.0;4;FIAT PALIO ATTRA. BEST SELLER 1.4 EVO FLEX 5P;FIAT;Hatch;Flex;Manual;Vermelho;Hidráulica;30500.0;30500.0;38000;37602;1;Air bag, Ar condicionado, Computador de bordo, Conexão USB, Som, Trava elétrica, Vidro elétrico
3845;"1311523764";2024-06-09 12:24:00.000;2024-07-05 00:56:28.000;domingo;sexta;-22.7173;-42.0422;Cabo Frio;1.0;0;2020;69000.0;4;FORD KA 1.0 SE/SE PLUS TIVCT FLEX 5P;FORD;Sedã;Flex;Manual;Cinza;Elétrica;49900.0;49900.0;47120;51319;1;Air bag, Alarme, Ar condicionado, Computador de bordo, Conexão USB, Controle automático de velocidade, Interface bluetooth, Rodas de liga leve, Sensor de ré, Som, Trava elétrica, Vidro elétrico, Volante multifuncional
3206;"1311525633";2024-06-09 12:37:00.000;2024-06-27 23:08:36.000;domingo;quinta;-22.9053;-43.6032;Rio de Janeiro;1.8;1;2017;13333.0;4;FIAT DOBLO ESSENCE 1.8 FLEX 16V 5P;FIAT;Van/Utilitário;Flex;Manual;Cinza;Hidráulica;48500.0;48500.0;56800;56161;1;Air bag, Ar condicionado, Bancos de couro, Trava elétrica, Vidro elétrico
769;"1311527375";2024-06-09 12:44:00.000;2024-08-27 20:39:44.000;domingo;terça;-22.8891;-43.3862;Rio de Janeiro;1.0;0;2019;69800.0;4;RENAULT LOGAN EXPRESSION FLEX 1.0 12V 4P;RENAULT;Sedã;Flex;Manual;Preto;Elétrica;39500.0;38500.0;39990;41796;2;Air bag, Alarme, Ar condicionado, Computador de bordo, Conexão USB, Interface bluetooth, Som, Trava elétrica, Vidro elétrico
768;"1311529232";2024-06-09 12:57:00.000;2024-08-08 22:43:22.000;domingo;quinta;-22.7096;-43.3827;Belford Roxo;1.8;1;2013;93000.0;4;CHEVROLET CRUZE LT 1.8 16V FLEXPOWER 4P AUT.;CHEVROLET;Sedã;Flex;Automático;Outra;Hidráulica;47000.0;47000.0;47500;54785;1;Air bag, Alarme, Ar condicionado, Bancos de couro, Câmera de ré, Computador de bordo, Conexão USB, Controle automático de velocidade, Interface bluetooth, Navegador GPS, Rodas de liga leve, Sensor de ré, Som, Trava elétrica, Vidro elétrico, Volante multifuncional
767;"1311531781";2024-06-09 13:08:00.000;2024-08-08 22:43:22.000;domingo;quinta;-22.9163;-42.822;Maricá;1.6;0;2016;84000.0;4;RENAULT STEPWAY INTENSE FLEX 1.6 16V AUT.;RENAULT;SUV;Flex;Automático;Vermelho;Hidráulica;41000.0;39000.0;42000;41000;2;Air bag, Alarme, Ar condicionado, Bancos de couro, Computador de bordo, Conexão USB, Interface bluetooth, Navegador GPS, Rodas de liga leve, Sensor de ré, Som, Trava elétrica, Vidro elétrico, Volante multifuncional
